Dienstart;Thema;Abteilung;Anzeigepriorität
Sitzungen/Tagungen;Dienstbesprechung Kreisausbilder Sprechfunker;Einsatzabteilung FF;10
Sitzungen/Tagungen;Dienstbesprechung Kreisausbilder Truppmann/Truppführer;Einsatzabteilung FF;10
Sitzungen/Tagungen;Feuerwehrausschuss;Einsatzabteilung FF;10
Sitzungen/Tagungen;Vorstandssitzung;Feuerwehrverein;10
Sitzungen/Tagungen;Wehrführerausschuss-Sitzung;Einsatzabteilung FF;10
Sonstiges;Geräteprüfung;Einsatzabteilung FF;10
Sonstiges;Reinigungsdienst;Einsatzabteilung FF;10
Sonstiges;Sonstige Tätigkeiten;Einsatzabteilung FF;10
Technischer Dienst;Interkommunale Zusammenarbeit;Einsatzabteilung FF;10
Veranstaltung;Ehrung;Feuerwehrverein;10
Veranstaltungen;Jugendfeuerwehrzeltlager;Einsatzabteilung FF;10
Veranstaltungen;Kameradschaftspflege;Einsatzabteilung FF;10
Veranstaltungen;Kreisfeuerwehrtag;Feuerwehrverein;10
Veranstaltungen;Vorbereiten von Veranstaltungen;Einsatzabteilung FF;10
Veranstaltungen;Weihnachtsfeier;Feuerwehrverein;10
Versammlungen;Jahreshauptversammlung;Feuerwehrverein;10
Versammlungen;Jahreshauptversammlung der EA;Einsatzabteilung FF;10
Versammlungen;Kreisverbandstag DLRG;Einsatzabteilung FF;10
